Chave;Serial number;alis;hostname;Mac Adress;ip;patrimo;fabri;Part Number;mod;vers;familia;class;GARANTIA;LOC;USUARIO;Quantidade;INSTALADOS
HWAPS001;FTX1237T06Q;APCA0501;APCA0501;0021D846FEEC;10.50.3.23;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 5¡ ANDAR;SEEDUC;;
HWAPS002;FTX1237T06H;APCA0502;APCA0502;0021D8470632;15.50.3.21;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 5¡ ANDAR;SEEDUC;;
HWAPS003;FTX1237T06N;APCM0501(TEREZA);APCM0501(TEREZA);0022559F9B40;10.50.3.24;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 5¡ ANDAR;SEEDUC;;
HWAPS004;FTX1237T067;APCM0502;APCM0502;0022559F95DC;10.50.3.22;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 5¡ ANDAR;SEEDUC;;
HWAPS005;FTX1237T07K;APCA2501;APCA2501;0021D846FDEC;;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 25¡ ANDAR;SEEDUC;;
HWAPS006;FTX1237T06K;APCA2502;APCA2502;0021D846FEFA;10.50.3.13;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 25¡ ANDAR;SEEDUC;;
HWAPS007;FTX1237T06M;APCM2501;APCM2501;0022559F9CFC;10.50.3.14;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 25¡ ANDAR;SEEDUC;;
HWAPS008;FTX1237T07J;APCM2502;APCM2502;0021D846FE98;;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 25¡ ANDAR;SEEDUC;;
HWAPS009;FTX1237T069;APCA2601;APCA2601;0022559F9B20;10.50.3.6;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 26¡ ANDAR;SEEDUC;;
HWAPS010;FTX1237T07M;APCA2602;APCA2602;0022559F9CC6;;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 26¡ ANDAR;SEEDUC;;
HWAPS011;FTX1237T07H;APCM2601;APCM2601;0021D846FF5A;10.50.3.9;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 26¡ ANDAR;SEEDUC;;
HWAPS012;FTX1237T06A;APCM2602;APCM2602;0021D846FFFA;10.50.3.2;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 26¡ ANDAR;SEEDUC;;
HWAPS013;FTX1237T07L;APCA2801;APCA2801;0022559F9CCE;10.50.3.4;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 28¡ ANDAR;SEEDUC;;
HWAPS014;FTX1237T07P;APCA2802;APCA2802;0022559F9BB4;;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 28¡ ANDAR;SEEDUC;;
HWAPS015;FTX1237T06E;APCM2801;APCM2801;0021D846FF50;10.50.3.10;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 28¡ ANDAR;SEEDUC;;
HWAPS016;FTX1237T07N;APCM2802;APCM2802;0022559F9BCC;10.50.3.18;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 28¡ ANDAR;SEEDUC;;
HWAPS017;FTX1237T070;APCA2901;APCA2901;0022559FAEEE;10.50.3.11;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 29¡ ANDAR;SEEDUC;;
HWAPS018;FTX1237T066;APCA2902;APCA2902;0021D846FEF0;;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 29¡ ANDAR;SEEDUC;;
HWAPS019;FTX1237T06G;APCM2901;APCM2901;0021D8470084;10.50.3.17;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 29¡ ANDAR;SEEDUC;;
HWAPS020;FTX1237T06C;APCM2902;APCM2902;0022559FAFDA;10.50.3.19;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 29¡ ANDAR;SEEDUC;;
HWAPS021;FTX1237T07Q;APCA3001;APCA3001;0022559F9DEC;10.50.3.12;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 30¡ ANDAR;SEEDUC;;
HWAPS022;FTX1237T06B;APCA3002;APCA3002;0022559F9AE8;10.50.3.3;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 30¡ ANDAR;SEEDUC;;
HWAPS023;FTX1237T07F;APCM3001;APCM3001;0021D846FFCE;10.50.3.20;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 30¡ ANDAR;SEEDUC;;
HWAPS024;FTX1237T07G;APCM3002;APCM3002;0022559F9B32;10.50.3.15;;CISCO;AIR-LAP1131AG-A-K9;;;HARDWARE;ACCESS POINT;;SEEDUC 30¡ ANDAR;SEEDUC;;
