APLICAÇÃO;ORIGEM;RELACIONAMENTO ;DESTINO;CMD CKECK TIPO;LOCALIZAÇÃO
[Infra] Discado;SWSOP096;RODA EM;HWSEF003;na;
[Infra] Discado;HWSEF003;CONECTADO A;HWSWI001;na;
[Infra] Discado;SWSOP097;RODA EM;HWSEF004;na;
[Infra] Discado;HWSEF004;CONECTADO A;HWSWI001;na;
[Infra] Discado;HWROT021;CONECTADO A;HWSWI001;na;
[Infra] Discado;HWSER003;CONECTADO A;HWSWI124;na;
[Infra] Discado;HWSWI124;CONECTADO A;HWSWI113;na;
[Infra] Discado;HWSWI113;CONECTADO A;HWSWI001;na;
[Infra] CIC;SWSVC013;RODA EM;HWSER012;na;
[Infra] CIC;SWSVC014;RODA EM;HWSER013;na;
[Infra] CIC;HWSEF001;CONECTADO A;HWSWI001;na;
[Infra] CIC;HWSWI001;CONECTADO A;HWSWI002;na;
[Infra] CIC;HWSEF002;CONECTADO A;HWSWI001;na;
[Infra] CIC;HWSER012;CONECTADO A;HWSWI124;na;
[Infra] CIC;HWSER013;CONECTADO A;HWSWI124;na;
[Infra] CIC;HWSWI124;CONECTADO A;HWSWI113;na;
[Infra] CIC;HWSWI113;CONECTADO A;HWSWI001;na;
[Infra] Maracana;HWSWI005;CONECTADO A;HWROT003;na;
[Infra] Maracana;HWSWI114;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSWI115;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSWI119;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSWI116;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSWI117;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSWI118;CONECTADO A;HWSWI119;na;
[Infra] Maracana;HWSEF005;CONECTADO A;HWSWI005;na;
[Infra] Maracana;HWSER010;CONECTADO A;HWSWI005;na;
[Infra] Serpro;HWSEF006;CONECTADO A;HWSWI007;na;
[Infra] Serpro;HWIBM001;CONECTADO A;HWSWI007;na;
[Infra] Serpro;HWSER131;CONECTADO A;HWSWI007;na;
[Infra] Serpro;HWSER303;CONECTADO A;HWSWI007;na;
