"CHAVE" "HOST NAME" "IP" "STATUS"
"HWSER227" "www.m-clipping.proderj.rj.gov.br" "www.m-clipping.proderj.rj.gov.br" "-"
"HWSER228" "www.videoclipping.com.br" "www.videoclipping.com.br" "SEMPRE OK"
"HWSER229" "www.clipnaweb.com.br" "www.clipnaweb.com.br" "SEMPRE OK"
"HWSER232" "www.cartaoriocard.com.br" "www.cartaoriocard.com.br" "SEMPRE OK"
"HWWEB004" "www.agenda.rj.gov.br" "www.agenda.rj.gov.br" "OPERACIONAL"
"HWWEB019" "www.codin.rj.gov.br" "www.codin.rj.gov.br" "OPERACIONAL"
"HWWEB024" "www.consumidor.rj.gov.br" "www.consumidor.rj.gov.br" "OPERACIONAL"
"HWWEB052" "www.imprensa.rj.gov.br" "www.imprensa.rj.gov.br" "OPERACIONAL"
"HWWEB070" "www.policiacivil.rj.gov.br" "www.policiacivil.rj.gov.br" "OPERACIONAL"
"HWWEB071" "www.policiamilitar2.rj.gov.br" "www.policiamilitar2.rj.gov.br" "OPERACIONAL"
"HWWEB072" "www.governo.rj.gov.br" "www.governo.rj.gov.br" "OPERACIONAL"
"HWWEB078" "www.procon.rj.gov.br" "www.procon.rj.gov.br" "OPERACIONAL"
"HWWEB100" "www.casacivil.rj.gov.br" "www.casacivil.rj.gov.br" "OPERACIONAL"
"HWWEB102" "www.segov.rj.gov.br" "www.segov.rj.gov.br" "OPERACIONAL"
"SWCFW001" "JANDAIA CLUSTER" "-" "OPERACIONAL"
"SWCFW002" "BEIJA FLOR CLUSTER" "-" "OPERACIONAL"
"SWPRO001" "-" "-" "OPERACIONAL"
"SWPRO002" "-" "-" "OPERACIONAL"
"SWPRO003" "-" "-" "OPERACIONAL"
"SWPRO004" "-" "-" "SPARE"
"SWPRO005" "-" "-" "SPARE"
"SWPRO006" "-" "-" "SPARE"
"SWSOP001" "-" "-" "OPERACIONAL"
"SWSOP002" "-" "-" "OPERACIONAL"
"SWSOP003" "-" "-" "OPERACIONAL"
"SWSOP004" "-" "-" "OPERACIONAL"
"SWSOP005" "-" "-" "OPERACIONAL"
"SWSOP006" "-" "-" "OPERACIONAL"
"SWSOP007" "-" "-" "OPERACIONAL"
"SWSOP008" "-" "-" "OPERACIONAL"
"SWSOP009" "-" "-" "OPERACIONAL"
"SWSOP010" "-" "-" "OPERACIONAL"
"SWSOP011" "-" "-" "OPERACIONAL"
"SWSOP012" "-" "-" "OPERACIONAL"
"SWSOP013" "-" "-" "OPERACIONAL"
"SWSOP014" "-" "-" "OPERACIONAL"
"SWSOP015" "-" "-" "OPERACIONAL"
"SWSOP016" "-" "-" "OPERACIONAL"
"SWSOP017" "-" "-" "SPARE"
"SWSOP018" "-" "-" "OPERACIONAL"
"SWSOP019" "-" "-" "OPERACIONAL"
"SWSOP020" "-" "-" "OPERACIONAL"
"SWSOP021" "-" "-" "OPERACIONAL"
"SWSOP022" "-" "-" "OPERACIONAL"
"SWSOP023" "-" "-" "OPERACIONAL"
"SWSOP024" "-" "-" "OPERACIONAL"
"SWSOP025" "-" "-" "OPERACIONAL"
"SWSOP026" "-" "-" "OPERACIONAL"
"SWSOP027" "-" "-" "OPERACIONAL"
"SWSOP028" "-" "-" "OPERACIONAL"
"SWSOP029" "-" "-" "OPERACIONAL"
"SWSOP030" "-" "-" "OPERACIONAL"
"SWSOP031" "-" "-" "OPERACIONAL"
"SWSOP032" "IOS" "-" "OPERACIONAL"
"SWSOP033" "-" "-" "OPERACIONAL"
"SWSOP034" "-" "-" "-"
"SWSOP035" "-" "-" "OPERACIONAL"
"SWSOP036" "-" "-" "OPERACIONAL"
"SWSOP037" "-" "-" "OPERACIONAL"
"SWSOP038" "-" "-" "OPERACIONAL"
